Species,Length,Height,Thickness,True_Mass,Aspect_Ratio,Thickness_Ratio,Theoretical_Volume,Perfect_K,Estimated_Mass_With_K
Carassius auratus,4.985431,2.6059787,0.8846477,5.7,0.5227188381506033,0.17744658385603973,6.017866464267866,0.9471795417603144,5.032786439738129
Carassius auratus,5.055036,1.9113909,0.8865999,5.3,0.3781161795880385,0.17538943342836727,4.485388519583331,1.1816144748353574,3.543156749783153
Carassius auratus,5.050102,1.6873863,1.1620023,5.0,0.3341291522428656,0.23009481788684663,5.1846599660611865,0.9643833988593328,4.183824919514244
Carassius auratus,5.1775565,2.331448,0.71561044,6.5,0.45029890064937006,0.1382139316104035,4.522992529989093,1.4371016438569433,3.460854008952055
Amatitlania nigrofasciata,3.6899292,1.5944254,1.4659562,4.5,0.4321018950715911,0.3972857256990188,4.515874400762336,0.9964847559179997,3.6398700481839446
Amatitlania nigrofasciata,3.5089784,1.5095977,1.3268583,4.0,0.4302100292210405,0.3781323646791328,3.680146335696508,1.0869133004850895,2.928212834840143
Trichogaster trichopterus,5.529109,1.9189382,1.5746905,3.8,0.34706101833043984,0.2848000464450963,8.74802407861572,0.43438380665743537,7.589615241365481
Trichogaster trichopterus,7.1265163,1.8323567,1.9133154,4.3,0.2571181518240546,0.26847835877397774,13.081950235735993,0.3286971684278144,11.46644425408399
Trichogaster pectoralis,4.3794885,1.9939017,0.95967865,1.9,0.4552818668207486,0.21913030482897716,4.387848148185673,0.43301407337572273,3.8904714627407326
Trichogaster pectoralis,5.532878,1.8167864,1.1178169,2.9,0.3283619121910875,0.20203172743010056,5.883344210902661,0.4929169356819024,5.076290623619555
