Fish_ID,Actual_Length,Actual_Thickness,Actual_Height,Actual_Mass,Len_Bezier_Med,Len_Bezier_10,Len_Bezier_20,Len_Bezier_25,Len_Bezier_30,Len_Bezier_40,Len_Bezier_50,Len_Bezier_60,Len_Bezier_70,Len_Bezier_75,Len_Bezier_80,Len_Bezier_85,Len_Bezier_90,Len_Bezier_95,Len_Two_Med,Len_Two_10,Len_Two_20,Len_Two_25,Len_Two_30,Len_Two_40,Len_Two_50,Len_Two_60,Len_Two_70,Len_Two_75,Len_Two_80,Len_Two_85,Len_Two_90,Len_Two_95,Len_Three_Med,Len_Three_10,Len_Three_20,Len_Three_25,Len_Three_30,Len_Three_40,Len_Three_50,Len_Three_60,Len_Three_70,Len_Three_75,Len_Three_80,Len_Three_85,Len_Three_90,Len_Three_95,Thick_Med,Thick_10,Thick_20,Thick_25,Thick_30,Thick_40,Thick_50,Thick_60,Thick_70,Thick_75,Thick_80,Thick_85,Thick_90,Thick_95,Height_Med,Height_10,Height_20,Height_25,Height_30,Height_40,Height_50,Height_60,Height_70,Height_75,Height_80,Height_85,Height_90,Height_95
Fish_1,5.4,1.2,2.5,5.7,5.113867,4.7087064,4.8802776,4.92869,4.985431,5.057202,5.113867,5.164196,5.21752,5.234136,5.2688737,5.3152857,5.3687973,5.4583197,5.124994,4.719106,4.8797207,4.9411106,4.981552,5.0600524,5.124994,5.174322,5.2130275,5.2363863,5.2612166,5.298112,5.3505807,5.4412036,5.130113,4.722812,4.890573,4.9473352,4.9863334,5.064967,5.130113,5.178288,5.216451,5.239479,5.2650933,5.3034105,5.354734,5.458738,0.4496765,0.15236415,0.26053444,0.29473102,0.32328236,0.392618,0.4496765,0.50144523,0.5687255,0.60396236,0.6401019,0.6819506,0.74504924,0.8554601,2.9327807,2.5959764,2.7105262,2.7364032,2.7574356,2.852227,2.9327807,3.0002918,3.0393932,3.0719943,3.1283607,3.2045052,3.2703788,3.361627
Fish_2,5.5,1.2,2.3,5.7,5.293397,4.749519,4.9257016,4.9793696,5.055036,5.178868,5.293397,5.390559,5.514564,5.581651,5.6418962,5.726928,5.8361998,6.0026236,5.286778,4.7532487,4.9290943,4.983883,5.0497103,5.177197,5.286778,5.3895698,5.512567,5.5808744,5.6413665,5.728892,5.8323913,5.9935026,5.293985,4.7567463,4.934339,4.9867682,5.058071,5.188332,5.293985,5.3926344,5.5183644,5.583761,5.6436462,5.732923,5.8326683,5.9970837,0.3040639,0.096139446,0.14848536,0.17368677,0.1999371,0.25157264,0.3040639,0.3637492,0.43847483,0.47169954,0.51238656,0.5685213,0.65287787,0.7307692,2.385683,1.9100975,2.0661535,2.1327014,2.196654,2.2906578,2.385683,2.5332112,2.7109034,2.8240786,2.9035432,2.9895751,3.091093,3.2140963
Fish_3,5.2,1.2,2.3,5.7,5.470001,4.5809083,4.8427873,4.945706,5.050102,5.2292914,5.470001,5.6659765,5.8331947,5.944413,6.060137,6.1601152,6.2534585,6.397589,5.453994,4.5846977,4.8359666,4.95448,5.0413184,5.236886,5.453994,5.661013,5.851471,5.9360557,6.0607076,6.1640573,6.25363,6.39077,5.463023,4.589153,4.8459125,4.959264,5.0475864,5.2475457,5.463023,5.6678,5.85608,5.9471526,6.065178,6.171989,6.2591705,6.393829,0.43399796,0.14182973,0.2121697,0.24890456,0.2832916,0.36816737,0.43399796,0.51689506,0.6320478,0.7023938,0.7882703,0.88033783,0.9776873,1.1620023,2.2569385,1.6861389,1.7504119,1.7989159,1.8413863,2.0122066,2.2569385,2.4700239,2.643197,2.7278714,2.8247254,2.9225292,3.043536,3.1816344
Fish_4,6.2,1.2,2.5,5.7,5.473342,4.6894484,4.999502,5.076276,5.1775565,5.3364067,5.473342,5.633174,5.808818,5.92715,6.0643334,6.227406,6.3664503,6.609091,5.4798985,4.6820016,5.007378,5.082638,5.181147,5.339057,5.4798985,5.6307745,5.8010526,5.9218917,6.071729,6.2262235,6.363401,6.6053,5.481363,4.6912603,5.008891,5.0868464,5.1823616,5.3408794,5.481363,5.6351132,5.812982,5.931681,6.0857725,6.2367725,6.366669,6.6156397,0.28701591,0.11010514,0.15764242,0.17683241,0.19675966,0.23875396,0.28701591,0.34846503,0.42985636,0.46694002,0.5108095,0.5611638,0.6240341,0.7036991,2.9178064,2.328889,2.5215187,2.5948744,2.7036397,2.836137,2.9178064,3.0130038,3.1063004,3.1568744,3.2110202,3.2674448,3.3373346,3.405118
Fish_5,3.9,1.6,2.2,5.7,3.8319054,3.391278,3.5736916,3.6209004,3.6899292,3.746463,3.8319054,3.9167519,3.974299,4.0365553,4.06709,4.1297913,4.2409782,4.441881,3.8322434,3.4079113,3.5752735,3.6353974,3.6725137,3.7657518,3.8322434,3.90771,3.9829645,4.026192,4.07026,4.1284456,4.2405844,4.4262424,3.8357644,3.4131145,3.5776043,3.6396794,3.6764336,3.7679312,3.8357644,3.9102383,3.991877,4.028598,4.071733,4.1349525,4.241956,4.427433,0.6859938,0.22656631,0.35837403,0.41343156,0.50022125,0.600201,0.6859938,0.80855805,0.92115295,1.004177,1.1279202,1.2219087,1.3132058,1.4659562,1.8507392,1.5956925,1.6856716,1.7250664,1.7620726,1.8064846,1.8507392,1.912266,1.971125,2.0158138,2.0520356,2.099619,2.1657326,2.2165966
Fish_6,3.6,1.4,2.1,5.7,3.766387,3.0510223,3.3266861,3.4228163,3.5089784,3.6403887,3.766387,4.0058904,4.200285,4.2696576,4.433052,4.617522,4.854832,5.1675444,3.7595859,3.0312505,3.3187714,3.4197564,3.5102098,3.6320524,3.7595859,3.9951444,4.180323,4.3002434,4.445527,4.5897493,4.8437834,5.1243443,3.7658224,3.028986,3.3242817,3.4197576,3.5152113,3.6350083,3.7658224,3.9948132,4.189678,4.301265,4.4254413,4.6108255,4.85087,5.122234,0.674973,0.15187158,0.26194507,0.34852606,0.41552263,0.55073303,0.674973,0.7894054,0.90062,0.9279586,0.9675956,1.0785549,1.1962092,1.3119189,2.4261818,1.5095977,1.6317781,1.7207236,1.8635206,2.1749132,2.4261818,2.6108031,2.7494855,2.8717198,2.9572558,3.0466099,3.1322365,3.2491379
Fish_7,5.2,1.0,1.8,5.7,5.991612,4.7779727,5.2212524,5.3939676,5.529109,5.7633376,5.991612,6.228418,6.6044374,6.7760906,6.9346194,7.129016,7.506537,7.912151,5.978694,4.7925124,5.2343,5.38256,5.5153847,5.7849684,5.978694,6.2270355,6.592706,6.7786026,6.9271827,7.1330237,7.5039086,7.9447885,5.9858174,4.8013024,5.236795,5.384382,5.51883,5.7877483,5.9858174,6.2302017,6.5950265,6.78039,6.9328055,7.133426,7.518402,7.944805,0.46437353,0.1616774,0.24757355,0.27698877,0.315826,0.37778616,0.46437353,0.54905564,0.67616886,0.7724703,0.88610464,1.0220367,1.1875707,1.4513828,2.677207,1.9184908,2.2305195,2.3122184,2.4060814,2.5958445,2.677207,2.8471556,3.0208817,3.078476,3.129756,3.1920025,3.2611194,3.3544986
Fish_8,5.8,1.2,2.0,5.7,7.6228476,6.2806993,6.748414,6.9334164,7.1265163,7.3983703,7.6228476,7.8714166,8.08928,8.16596,8.254456,8.36652,8.627087,8.968281,7.5998898,6.267565,6.742683,6.9380155,7.1265817,7.3867054,7.5998898,7.8930683,8.08309,8.1539345,8.254547,8.361316,8.61649,8.956635,7.614748,6.2724323,6.744172,6.94339,7.137085,7.3991227,7.614748,7.9001255,8.086534,8.164524,8.274445,8.371154,8.623321,8.9585,0.6177686,0.22475709,0.30966327,0.36437142,0.4054727,0.49881715,0.6177686,0.7667398,1.0159086,1.152112,1.4037901,1.6184236,1.7394518,1.9133154,2.5535924,1.8320653,1.8858647,1.927152,1.97033,2.2162814,2.5535924,2.7644932,2.860268,2.9156017,2.9619846,3.0714908,3.1765604,3.3259363
Fish_9,4.5,0.9,1.7,5.7,4.48601,4.0997252,4.283068,4.331765,4.3794885,4.440425,4.48601,4.520263,4.6096725,4.6725187,4.7566853,4.837204,4.9776173,5.212682,4.464452,4.1166015,4.2982793,4.3595476,4.387199,4.4236703,4.464452,4.5081587,4.595836,4.6663647,4.7428145,4.824733,4.9802017,5.195968,4.4693584,4.126814,4.303191,4.3659086,4.3929873,4.4288177,4.4693584,4.5140133,4.597698,4.6740303,4.743838,4.828615,4.9733605,5.189992,0.56439656,0.19750045,0.3121094,0.35995394,0.4100118,0.502845,0.56439656,0.6271651,0.6838167,0.7185966,0.747957,0.8023942,0.86722404,0.95967865,2.583096,2.2040837,2.352825,2.4213908,2.471644,2.5385385,2.583096,2.6150978,2.6559303,2.688672,2.7132938,2.7446904,2.7989388,2.9151893
Fish_10,4.9,1.0,1.8,5.7,5.825547,5.157902,5.3853846,5.4709215,5.532878,5.6832013,5.825547,5.9806166,6.1428747,6.250664,6.3293333,6.4378185,6.568176,6.731314,5.8249073,5.1718416,5.3843083,5.4734755,5.545113,5.674356,5.8249073,5.9825716,6.1505375,6.2531824,6.334419,6.439963,6.556521,6.724376,5.8272448,5.1755586,5.391923,5.4833293,5.554983,5.6786394,5.8272448,5.9868336,6.159713,6.254182,6.3421745,6.4435816,6.558027,6.7286897,0.41683158,0.1389574,0.19256732,0.2278219,0.267054,0.3347383,0.41683158,0.5093949,0.63671625,0.73882663,0.82626456,0.90615195,1.0048212,1.1166869,2.3900712,1.8031228,2.031335,2.1101053,2.1699705,2.2683384,2.3900712,2.498348,2.6128795,2.683766,2.7527618,2.8368595,2.93675,3.1309886
