Fish_ID,Actual_Length,Actual_Thickness,Actual_Height,Len_Bezier_Med,Len_Bezier_10,Len_Bezier_20,Len_Bezier_25,Len_Bezier_30,Len_Bezier_40,Len_Bezier_50,Len_Bezier_60,Len_Bezier_70,Len_Bezier_75,Len_Bezier_80,Len_Bezier_85,Len_Bezier_90,Len_Bezier_95,Len_Two_Med,Len_Two_10,Len_Two_20,Len_Two_25,Len_Two_30,Len_Two_40,Len_Two_50,Len_Two_60,Len_Two_70,Len_Two_75,Len_Two_80,Len_Two_85,Len_Two_90,Len_Two_95,Len_Three_Med,Len_Three_10,Len_Three_20,Len_Three_25,Len_Three_30,Len_Three_40,Len_Three_50,Len_Three_60,Len_Three_70,Len_Three_75,Len_Three_80,Len_Three_85,Len_Three_90,Len_Three_95,Thick_Med,Thick_10,Thick_20,Thick_25,Thick_30,Thick_40,Thick_50,Thick_60,Thick_70,Thick_75,Thick_80,Thick_85,Thick_90,Thick_95,Height_Med,Height_10,Height_20,Height_25,Height_30,Height_40,Height_50,Height_60,Height_70,Height_75,Height_80,Height_85,Height_90,Height_95
Fish_1,5.4,1.2,2.5,5.1123686,4.629029,4.834821,4.9054775,4.959552,5.0454936,5.1123686,5.1632047,5.216751,5.226161,5.267491,5.3060966,5.3673306,5.4579086,5.1143837,4.6278014,4.845199,4.909787,4.960803,5.04727,5.1143837,5.168262,5.209501,5.233835,5.256077,5.2916784,5.34612,5.440409,5.1195917,4.633809,4.855293,4.9191666,4.964219,5.0493307,5.1195917,5.1716485,5.2128325,5.2373853,5.2620792,5.299479,5.353909,5.4566665,0.452536,0.1534478,0.26150456,0.29648122,0.3265976,0.39476728,0.452536,0.5072975,0.57514495,0.6107158,0.6487599,0.69030267,0.7712318,0.8846477,2.9502468,2.6059787,2.7160227,2.7416627,2.7653522,2.8684762,2.9502468,3.01082,3.0569744,3.1030138,3.1870081,3.2512913,3.3339803,3.599405
Fish_2,5.5,1.2,2.3,5.286675,4.711185,4.915627,4.9662333,5.0326614,5.1741037,5.286675,5.3840013,5.50568,5.57871,5.6404023,5.721478,5.835742,5.9926467,5.277029,4.698171,4.9172854,4.9736786,5.0415187,5.1658196,5.277029,5.3839684,5.5086865,5.5747786,5.639551,5.726863,5.825637,5.9901114,5.287037,4.707384,4.9212003,4.978905,5.0473986,5.1721344,5.287037,5.3889084,5.5144725,5.5808244,5.642572,5.728751,5.828911,5.995835,0.31121773,0.098391145,0.15110756,0.17740084,0.20533544,0.25532863,0.31121773,0.3762567,0.4506809,0.4842187,0.53927726,0.6055254,0.6810462,0.8865999,2.38667,1.9113909,2.067042,2.1338263,2.1978755,2.2923312,2.38667,2.5379143,2.713558,2.8266835,2.9074008,2.9983685,3.0971377,3.2283623
Fish_3,5.2,1.2,2.3,5.470001,4.5809083,4.8427873,4.945706,5.050102,5.2292914,5.470001,5.6659765,5.8331947,5.944413,6.060137,6.1601152,6.2534585,6.397589,5.453994,4.5846977,4.8359666,4.95448,5.0413184,5.236886,5.453994,5.661013,5.851471,5.9360557,6.0607076,6.1640573,6.25363,6.39077,5.463023,4.589153,4.8459125,4.959264,5.0475864,5.2475457,5.463023,5.6678,5.85608,5.9471526,6.065178,6.171989,6.2591705,6.393829,0.43399796,0.14182973,0.2121697,0.24890456,0.2832916,0.36816737,0.43399796,0.51689506,0.6320478,0.7023938,0.7882703,0.88033783,0.9776873,1.1620023,2.28005,1.6873863,1.7538115,1.8013961,1.8451228,2.0395837,2.28005,2.487848,2.6696794,2.758092,2.8539326,2.953561,3.0998116,3.2535017
Fish_4,6.2,1.2,2.5,5.462073,4.655004,4.9901543,5.0721006,5.169383,5.3339605,5.462073,5.6315875,5.8058877,5.9175367,6.062114,6.2231245,6.365883,6.608976,5.4766207,4.6613255,4.980433,5.0755467,5.1724424,5.3357368,5.4766207,5.6272235,5.7952337,5.9130244,6.068412,6.224113,6.361708,6.604685,5.478671,4.6651764,4.988045,5.077739,5.1730676,5.337062,5.478671,5.6327915,5.8013854,5.930042,6.0826283,6.232751,6.366587,6.6155186,0.2882988,0.11016328,0.15780371,0.17694908,0.1970022,0.23900409,0.2882988,0.35086122,0.4324081,0.46826145,0.5136388,0.566705,0.629173,0.71561044,2.9284325,2.331448,2.5275671,2.6058676,2.7161434,2.847605,2.9284325,3.0237832,3.1247783,3.1767454,3.232773,3.2899039,3.364412,3.4664934
Fish_5,3.9,1.6,2.2,3.8225029,3.3388836,3.5410597,3.5896454,3.665325,3.734609,3.8225029,3.9037066,3.9727092,4.034737,4.068352,4.1338873,4.2450533,4.472282,3.8242927,3.3499327,3.548129,3.597563,3.657159,3.7488246,3.8242927,3.9028254,3.980679,4.023986,4.070168,4.129363,4.252966,4.460725,3.8287797,3.35113,3.549073,3.5998898,3.6616294,3.7543938,3.8287797,3.906588,3.983432,4.027851,4.0716686,4.135822,4.2548833,4.4638376,0.6859938,0.22656631,0.35837403,0.41343156,0.50022125,0.600201,0.6859938,0.80855805,0.92115295,1.004177,1.1279202,1.2219087,1.3132058,1.4659562,1.8527644,1.5944254,1.6857162,1.7254945,1.763804,1.80723,1.8527644,1.9149417,1.9773606,2.018358,2.0563986,2.103923,2.1714149,2.2468295
Fish_6,3.6,1.4,2.1,3.7981248,3.0576496,3.3298886,3.4353127,3.5209243,3.6452217,3.7981248,4.034767,4.2190256,4.3293695,4.522269,4.7064137,4.913721,5.301304,3.762846,3.0352347,3.3203492,3.4241238,3.511495,3.6345897,3.762846,4.0099626,4.193423,4.3150496,4.4740887,4.6438856,4.8575106,5.1729765,3.7794082,3.0534804,3.3280559,3.4421134,3.5236096,3.6481438,3.7794082,4.032883,4.224647,4.3445597,4.493161,4.7116575,4.922969,5.3354254,0.6799599,0.1519198,0.26324692,0.3509115,0.41895834,0.55453527,0.6799599,0.7918817,0.90401125,0.9303554,0.97943676,1.0850914,1.2086786,1.3268583,2.4261818,1.5095977,1.6317781,1.7207236,1.8635206,2.1749132,2.4261818,2.6108031,2.7494855,2.8717198,2.9572558,3.0466099,3.1322365,3.2491379
Fish_7,5.2,1.0,1.8,5.990155,4.761631,5.198564,5.3847365,5.519981,5.760418,5.990155,6.2222157,6.587412,6.76645,6.928084,7.128057,7.50303,7.911889,5.972085,4.7671185,5.2144284,5.3680034,5.508543,5.772166,5.972085,6.2225327,6.583562,6.7772264,6.923739,7.1255145,7.503147,7.9440536,5.9810905,4.7835264,5.216915,5.3698907,5.5142016,5.781952,5.9810905,6.2283645,6.58888,6.7788982,6.9319835,7.1257076,7.5182242,7.944073,0.47039074,0.16455601,0.24993835,0.27886885,0.32056844,0.3807557,0.47039074,0.56060416,0.69795746,0.792276,0.9117733,1.0619828,1.2407179,1.5746905,2.6772947,1.9189382,2.230532,2.3124545,2.4062638,2.5964127,2.6772947,2.8472996,3.0230796,3.0792532,3.1298118,3.1929665,3.262248,3.355148
Fish_8,5.8,1.2,2.0,7.5951033,6.0949216,6.698339,6.8885818,7.087576,7.376875,7.5951033,7.8523893,8.083773,8.161601,8.24657,8.361993,8.625229,8.96397,7.5907874,6.1458645,6.7023892,6.873091,7.1001973,7.374257,7.5907874,7.86072,8.066003,8.149381,8.2473955,8.356515,8.602713,8.954084,7.598371,6.156885,6.7027063,6.873314,7.104812,7.380212,7.598371,7.8667707,8.082191,8.162897,8.267156,8.368607,8.618502,8.9547615,0.6177686,0.22475709,0.30966327,0.36437142,0.4054727,0.49881715,0.6177686,0.7667398,1.0159086,1.152112,1.4037901,1.6184236,1.7394518,1.9133154,2.5583315,1.8323567,1.8868523,1.930332,1.9760456,2.2304912,2.5583315,2.7708843,2.871927,2.9242837,2.9867704,3.1022186,3.2234423,3.364497
Fish_9,4.5,0.9,1.7,4.484255,4.010101,4.237859,4.316103,4.3491135,4.4332294,4.484255,4.5221043,4.6207457,4.7060785,4.7889833,4.9299674,5.1128044,5.422098,4.462882,3.992925,4.230341,4.3216844,4.371803,4.4192443,4.462882,4.5100904,4.6167803,4.7031026,4.7749662,4.9178753,5.0999246,5.3954973,4.467648,4.0027795,4.2360315,4.3279366,4.3802657,4.4250593,4.467648,4.515972,4.619008,4.7081146,4.7800407,4.925074,5.1025944,5.406648,0.56439656,0.19750045,0.3121094,0.35995394,0.4100118,0.502845,0.56439656,0.6271651,0.6838167,0.7185966,0.747957,0.8023942,0.86722404,0.95967865,2.574512,1.9939017,2.2761219,2.3625205,2.430461,2.5221198,2.574512,2.6083527,2.6485643,2.683522,2.711421,2.7445095,2.8023462,2.9326005
Fish_10,4.9,1.0,1.8,5.824438,5.1576285,5.381506,5.467105,5.5322385,5.679176,5.824438,5.9795966,6.1418676,6.2497044,6.329198,6.4370146,6.567633,6.730479,5.8231993,5.1661735,5.3829083,5.4720964,5.5420704,5.6740546,5.8231993,5.981948,6.1503434,6.2511163,6.333037,6.4386444,6.5562377,6.723311,5.826314,5.17324,5.390084,5.482114,5.553076,5.6771817,5.826314,5.9858046,6.1586084,6.252534,6.3398356,6.4428234,6.557221,6.7273126,0.41724357,0.13897966,0.19267415,0.2279183,0.2671668,0.33528334,0.41724357,0.510192,0.6381029,0.74112535,0.8271447,0.90764296,1.0078882,1.1178169,2.3981504,1.8167864,2.0440133,2.1177626,2.1733966,2.2789607,2.3981504,2.5078607,2.6301098,2.7001598,2.7815263,2.8738782,2.9828796,3.3869996
